	P(VFC)	P(MFC)	P(IPC)	P(ITC)	P(DFC)	P(OFC)	P(M1C)	P(S1C)	P(A1C)	P(AMY)	P(STC)	P(STR)	P(V1C)	P(HIP)	P(MD)	P(CBC)	I(VFC)	I(MFC)	I(IPC)	I(ITC)	I(DFC)	I(OFC)	I(M1C)	I(S1C)	I(A1C)	I(AMY)	I(STC)	I(STR)	I(V1C)	I(HIP)	I(MD)	I(CBC)	C(VFC)	C(MFC)	C(IPC)	C(ITC)	C(DFC)	C(OFC)	C(M1C)	C(S1C)	C(A1C)	C(AMY)	C(STC)	C(STR)	C(V1C)	C(HIP)	C(MD)	C(CBC)	A(VFC)	A(MFC)	A(IPC)	A(ITC)	A(DFC)	A(OFC)	A(M1C)	A(S1C)	A(A1C)	A(AMY)	A(STC)	A(STR)	A(V1C)	A(HIP)	A(MD)	A(CBC)	At(VFC)	At(MFC)	At(IPC)	At(ITC)	At(DFC)	At(OFC)	At(M1C)	At(S1C)	At(A1C)	At(AMY)	At(STC)	At(STR)	At(V1C)	At(HIP)	At(MD)	At(CBC)
PPP3CC	10.349584	9.705465	10.39406	10.093783	9.527144	10.055596	9.984345	10.396203	9.876452	8.412311	9.230408	8.472603	8.264595	7.158677	10.531634	5.46218	5.801858	6.625522	6.844829	6.707436	6.558387	6.09582	5.808534	6.783176	6.784007	4.685948	7.017118	4.8135	7.549245	4.240261	7.406125	6.417259	5.338412	4.747103	5.005405	5.735934	5.0046	4.964681	5.203888	5.546123	5.058907	4.024056	5.281348	2.835639	4.781452	3.919532	6.374153	6.17917	4.833093	4.399619	4.940465	4.714856	5.358721	4.81463	4.398	4.614249	5.400962	4.039328	5.012635	3.66715	4.919266	3.256183	5.483747	6.008069	4.762253	4.901937	5.12116	4.677503	5.136701	4.655894	4.863406	5.416378	5.143014	3.868048	5.149659	3.458291	6.500221	4.065275	5.68577	6.347752
RGS4	0.6196598	0.5788144	0.5310146	0.8753662	1.1287259	0.8723822	0.7047614	0.8956171	1.5361858	2.2163267	0.6629793	3.2855821	1.6109127	0.7624471	2.0070532	1.9454475	66.517368	87.245684	104.75786	72.259151	91.166162	85.201381	77.44078	127.956689	75.760979	28.623049	74.366304	20.298768	101.990952	20.847612	6.251265	1.124732	148.114161	126.43971	139.384017	133.915235	146.574082	135.386091	128.176897	152.915404	121.503048	33.416728	133.894727	41.898634	124.186545	55.150234	6.626822	1.279943	123.918383	96.021999	155.688339	114.854227	134.717031	120.354114	121.212303	124.378271	129.459944	32.003099	153.354323	43.590668	93.538909	14.691713	12.554696	2.167413	162.635776	141.77014	167.038622	144.323844	197.178143	153.882473	150.11266	160.048397	150.922671	62.315254	155.47802	27.815817	167.018131	51.00539	6.542421	1.601516
RTN4R	11.307583	9.637373	9.197294	9.163777	9.747449	8.591	8.653078	9.309981	9.698849	8.145015	11.160233	6.007517	9.817551	7.275799	10.805442	5.54775	12.365773	12.364977	15.054754	10.560462	14.417979	13.479429	16.156673	15.212298	12.398809	12.587174	10.899504	2.942854	18.355088	7.018984	9.120905	28.892451	14.701119	9.69037	11.4205	8.793657	14.574536	12.085868	12.228889	11.1807	13.877467	9.613514	14.901918	1.651788	13.150538	4.187297	5.906119	30.009514	16.489032	11.402047	17.848324	17.425357	22.327048	22.340458	13.98535	13.403176	11.431407	17.541786	15.128646	1.661667	13.913371	11.297859	6.855693	26.618982	14.350653	15.828758	15.932922	14.798841	13.293903	17.318824	16.168121	16.618471	17.536866	10.081424	20.81613	1.797067	15.475085	9.592301	8.445253	30.345311
SLC1A1	15.04673	14.358044	14.699923	16.26517	14.200973	14.641983	15.897609	15.643697	14.696657	10.558663	12.185027	16.624068	11.030464	8.864942	13.34585	7.353725	13.656472	14.621449	13.526718	14.078805	13.203783	12.834303	14.345467	14.195666	14.8735	14.981227	14.22717	14.967641	13.341466	13.592049	24.461745	3.660438	12.44776	11.360907	12.982629	14.362024	9.929128	11.107536	10.919273	12.162213	11.370381	10.936117	13.715657	9.527753	11.953946	17.122324	20.051847	4.119972	11.118023	10.879445	12.863752	11.535389	11.949845	11.474918	10.459626	10.738867	11.372563	10.866003	12.93978	11.890977	8.980489	9.317263	16.842489	4.89398	12.736058	15.080183	13.540718	14.985456	14.887066	13.394642	11.839898	13.512429	12.323276	11.647787	13.849492	11.470813	13.908879	13.437071	23.001075	5.961722
SLC6A3	0.008060375	0.010262467	0.003148143	0.041214	0.003511176	0.005852286	0.0034433	0.0038902	0.001659571	0.010845357	0.006389786	0.012867643	0.0012096	0.020802133	0.012742875	0.102248375	0.004029	0.0072798	0.00210025	0.004015833	0	0.005337	0.020907667	0.00475125	0	0.006746	0.007695167	0.020703667	0	0.01038775	0.021601	0.0235742	0.002892833	0.07128875	0.0007274	0.0055658	0.0171158	0.002979	0	0	0.001412	0	0	0.022428667	0	0.01575575	0.105605333	0.002862667	0.004195333	0.004192667	0	0.003395	0	0	0	0.005015333	0	0.008825	0	0.0083695	0	0.026032	0.1707315	0.002948	0.003481833	0.0026324	0.007686333	0.002320167	0.0182236	0.003302667	0.002246833	0	0.0080265	0.013943	0.004837	0.019784333	0.0071342	0.009787833	0.031000833	0.005024
SLC6A4	0.20643456	0.1128862	0.07825207	0.10612262	0.17589212	0.16982064	0.1545066	0.1109818	0.12414993	0.04844793	0.12531464	0.02801814	0.18155253	0.11874473	0.12390913	0.3785735	0.04132225	0.031238	0.06840725	0.051562	0.0520324	0.0226854	0.05576533	0.0783445	0.03086233	0.0625375	0.06950017	0.08068533	0.0493276	0.11271325	0.109314	0.238975	0.02100183	0.05604625	0.0478322	0.02525	0.043616	0.047819	0.028379	0.04313533	0.054531	0.02454767	0.0456585	0.051504	0.042939	0.02238425	0.024389	0.05933267	0.03009867	0.06346033	0.0406715	0.02753	0.02605833	0.05318133	0.046239	0.04301733	0.04858367	0.030167	0.01863825	0.0413435	0.05347733	0.04669533	0.0549185	0.05193625	0.0334865	0.0484324	0.03452033	0.03713933	0.0315186	0.03948883	0.03774617	0.04483283	0.0405965	0.03879667	0.03188233	0.03273333	0.0622438	0.05403483	0.0435215	0.071533
TAAR6	0.004009875	0	0.003656571	0	0	0.006444143	0.0128572	0	0.0057735	0.009438	0.002483857	0	0	0.003483933	0	0	0.0176245	0.0187082	0.0208415	0	0	0	0.088205	0.0099455	0	0.08839325	0	0	0	0.010177	0	0	0	0.265182	0.018839	0	0.0635036	0	0.013026	0.020915	0	0.02294267	0.01284533	0	0	0.01713275	0	0	0.019704667	0	0	0.01447625	0.019671	0	0	0.021939333	0.047879667	0.063582667	0	0.0366125	0	0.009684667	0	0	0	0.0402654	0	0	0.0130156	0	0.009742667	0.0057565	0.014382833	0.020820833	0	0.003511	0	0.007997	0.011168	0.013794167
TNF	0.002561188	0.005433067	0.001452214	0	0	0.004164286	0.0022101	0.0064981	0.025997429	0.004312786	0	0.008674571	0.018563	0.011379467	0.01720525	0.006347875	0	0.0192024	0.0158675	0.07701183	0.00487	0.014438	0.01629567	0.042129	0	0.0069695	0.01588567	0.02694867	0.0221434	0.0155995	0.011298	0.0398258	0.0225095	0.0679445	0.0275596	0.0092408	0.0112028	0	0.02807325	0.024329	0.0157466	0.006392667	0.030456833	0	0.0329542	0.0052985	0.035205333	0	0.08035667	0	0.0133665	0.01833275	0.06071167	0.02088833	0	0.06573533	0	0.040006	0.00995725	0.0238595	0.02691467	0.01179067	0	0.0064105	0.020336667	0.0232986	0.022888333	0.042653333	0.0121776	0.026690167	0.020397667	0.010000667	0.022329	0.022206167	0.023191833	0.032753167	0.0201878	0.004945833	0.022021833	0.013373833
VIPR2	0.26781362	0.15944947	0.08529493	0.19821962	0.14871776	0.16982557	0.1289789	0.1209406	0.25676179	0.90212857	0.17018521	0.34402457	0.4074892	0.6877412	0.73231275	2.88019213	2.593535	1.736793	1.888165	1.202438	2.61811	2.175122	2.538102	2.411029	3.4445	1.25729	2.179753	0.515696	5.568908	1.501046	1.022113	1.444747	1.9897465	1.4767523	1.393983	1.3495972	1.3713796	1.7076527	1.382594	1.1711183	1.591988	0.5063468	1.7749635	0.5008957	3.7646758	0.757058	0.653955	0.2984797	2.1715357	1.5934573	1.5122755	1.6623672	2.4690233	1.970174	1.6236167	2.227469	2.236717	0.5229417	1.7052882	0.436082	3.2529833	1.5383447	0.959648	0.4023095	1.496682	0.756916	1.0310632	0.8083232	1.1208482	1.1142763	1.296408	1.6436362	2.0407587	0.5776672	1.4915013	0.266012	3.2360652	0.6715127	0.4474483	0.1439482
ZDHHC8	5.655487	5.043112	4.199429	4.523126	4.848585	4.304486	4.269971	4.405741	4.514288	4.846061	5.687956	4.287422	5.681916	4.882325	4.175033	6.111292	10.583563	9.583164	10.007482	8.160545	10.855176	9.727674	12.704478	10.612805	9.973346	10.586542	8.28179	8.667377	12.880741	6.489034	4.710739	7.00253	7.513987	5.493814	6.921381	5.36735	6.992153	7.893093	6.944974	6.088782	8.985534	5.738019	7.854039	5.526175	8.254993	3.491932	5.510441	7.185707	10.009304	7.735569	10.248711	10.032056	11.71384	12.165359	9.072032	8.974277	7.177503	8.9392	8.716997	5.593422	9.060877	7.709207	7.943297	6.012134	8.166461	7.655721	7.190408	6.425166	6.962029	8.553842	8.633226	8.383843	8.488981	6.511322	9.740329	6.026212	8.30726	6.104509	5.370135	6.479922
